game_id,game_name,game_yr_pub,min_players,max_players,min_play_time,min_age,avg_rating,complexity,categories,designers,publishers,rank,Puzzle,Card Game
144733,Russian Railroads,2013,2,4,90,12,7.75898,3.4087,Industry / Manufacturing|Trains,"Helmut Ohley|Leonhard ""Lonny"" Orgler",Hans im Glück|999 Games|Asterion Press|Bard Centrum Gier|Devir|Filosofia Éditions|Hobby World|MINDOK|Z-Man Games,99,0,0
42,Tigris & Euphrates,1997,2,4,90,12,7.70197,3.5047,Ancient|Civilization|Territory Building,Reiner Knizia,Hans im Glück|999 Games|CZ Cloud Soft Co. Ltd|Devir|Edge Entertainment|Fantasy Flight Games|Galápagos Jogos|Giochi Uniti|Heidelberger Spieleverlag|Hobby Japan|Lacerta|Matagot|Mayfair Games|Pegasus Spiele|Smart Ltd|Top Licence Games|Wargames Club Publishing|Z-Man Games,100,0,0
225694,Decrypto,2018,3,8,15,12,7.78779,1.7882,Bluffing|Deduction|Party Game|Spies/Secret Agents|Word Game,Thomas Dagenais-Lespérance,Le Scorpion Masqué|2 Pionki|ADC Blackfire Entertainment|Asmodee|Asmodee China|Bergsala Enigma (Enigma)|Fantasmagoria|Galápagos Jogos|Games7Days|Gém Klub Kft.|GoKids 玩樂小子|Happy Baobab|IELLO|Kaissa Chess & Games|Lavka Games|Lex Games|Portal Games,101,0,0
102680,Trajan,2011,2,4,60,12,7.75933,3.6513,Ancient|Political,Stefan Feld,Ammonit Spiele|Asterion Press|Broadway Toys LTD|DiceTree Games|FoxMind|Gigamic|Gigante Jogos|HUCH!|Hutter Trade GmbH + Co KG|Maldito Games|Passport Game Studios|Quined Games|Renegade Game Studios,102,0,0
295947,Cascadia,2021,1,4,30,10,8.07752,1.9027,Animals|Puzzle,Randy Flynn,Flatout Games|Alderac Entertainment Group|Asmodee China|Boardgame Mall|CrowD Games|Delirium Games|Gém Klub Kft.|KOSMOS|Little Rocket Games|Lord of Boards|Lucky Duck Games|MINDOK|White Goblin Games,103,1,0
155821,Inis,2016,2,4,60,14,7.81423,2.8756,Card Game|Exploration|Medieval|Miniatures|Mythology,Christian Martinez,Matagot|Buró|Gen-X Games|Giant Roc|Hobby Japan|Lavka Games|Lord of Boards|Pegasus Spiele|Portal Games|Surfin' Meeple|Surfin' Meeple China,104,0,1
284378,Kanban EV,2020,1,4,60,14,8.59749,4.3553,Economic|Industry / Manufacturing,Vital Lacerda,"Eagle-Gryphon Games|Editions Philibert|Geekach Games|Gém Klub Kft.|Giochix.it|hobbity.eu|Korea Boardgames Co., Ltd.|Lavka Games|Maldito Games|Skellig Games|TLAMA games|YOKA Games",105,0,0
178900,Codenames,2015,2,8,15,14,7.58944,1.2755,Card Game|Deduction|Party Game|Spies/Secret Agents|Word Game,Vlaada Chvátil,"Czech Games Edition|Asmodee|Bergsala Enigma (Enigma)|Boardgame Space|Brain Games|Broadway Toys LTD|Cranio Creations|Cuaca Cerah Games|Devir|DiceTree Games|Fantasmagoria|Feelindigo|GaGa Games|Gém Klub Kft.|Golden Egg Games|Heidelberger Spieleverlag|Hobby Japan|IELLO|Kaissa Chess & Games|Land of Beautiful Mind (سرزمین ذهن زیبا)|Lex Games|MINDOK|More Fun Co., Ltd.|Nordic Games GmbH|One Moment Games|Ponva d.o.o.|Pridemage Games|Rebel Sp. z o.o.|SuperHeated Neurons|TWOPLUS Games|White Goblin Games",106,0,1
132531,Roll for the Galaxy,2014,2,5,45,13,7.63992,2.7768,Civilization|Dice|Economic|Science Fiction|Space Exploration,Wei-Hwa Huang|Thomas Lehmann,"Rio Grande Games|CrowD Games|Devir|Games Factory Publishing|Gigamic|Hobby Japan|Korea Boardgames Co., Ltd.|Pegasus Spiele|Portal Games",107,0,0
36218,Dominion,2008,2,4,30,13,7.60706,2.3542,Card Game|Medieval,Donald X. Vaccarino,"Rio Grande Games|999 Games|Albi|Bard Centrum Gier|Conclave Editora|cutia.ro|Devir|Filosofia Éditions|Games Factory Publishing|Gém Klub Kft.|Hans im Glück|Hobby Japan|Hobby World|IUVI Games|Kaissa Chess & Games|Korea Boardgames Co., Ltd.|Lautapelit.fi|Martinex|Runadrake|Smart Ltd|Stupor Mundi|Swan Panasia Co., Ltd.|Vennerød Forlag AS|Ystari Games",108,0,1
233371,Clank! In! Space!: A Deck-Building Adventure,2017,2,4,45,12,7.84072,2.5309,Science Fiction,Paul Dennen,Dire Wolf|Renegade Game Studios|17wanzy (Yihu BG)|Lucrum Games|REXhry|Schwerkraft-Verlag,109,0,0
